full_text,final_cleaned,sentiment
Gw terakhir baca bobo jaman SD termasuk bacaan Mewah pada waktu itu dikarenakan kendala lokasi (tinggal dipedalaman Kabupaten Paser yg katanya mau jadi IKN). Yang mana hampir ±25 Tahun yg lalu. Tapi masih ingat seperti baru kemarin dengan ilustrasi ini.. Terima kasih,baca jaman masuk baca mewah kendala lokasi tinggal kabupaten paser kemarin ilustrasi terima kasih,negatif
Lu ke ikn Gak pak Ayolah Gak pak,ayo,negatif
@Bagaspurnomoadi @tanyarlfes Buzzer masyarakat sih gue dukung ngga tau kalau kelas penjilat kaya elu dukungnya dinasti lah ya. Elu dinasti versi KCIC apa IKN? Atau lawas version cabang Kertajati?,masyarakat dukung tau kelas jilat kaya dukung dinasti dinasti versi lawas cabang,positif
IKN bukan hanya ibu kota baru tapi simbol identitas nasional yang mencerminkan semangat persatuan inklusivitas dan kemajuan Indonesia ke depan. #IKNBanggaIndonesia #SimbolPersatuan ,kota simbol identitas nasional cermin semangat maju indonesia,positif
IKN dirancang sebagai kota masa depan yang ramah lingkungan berbasis teknologi pintar dan berorientasi pada keberlanjutan. #KotaHijau #SmartCityIKN ,rancang kota ramah lingkung bas teknologi pintar orientasi,positif
Proyek IKN menyerap jutaan tenaga kerja dan menghidupkan UMKM lokal melalui rantai pasok bahan bangunan makanan dan jasa lainnya. #IKNCiptakanKerja #UMKMNaikKelas ,proyek serap juta tenaga kerja hidup lokal rantai pasok bahan bangun makan jasa,positif
IKN Nusantara menciptakan pusat pertumbuhan ekonomi baru membuka peluang investasi dan menggerakkan sektor-sektor unggulan seperti konstruksi energi dan teknologi hijau. #IKNMendorongEkonomi #InvestasiHijau ,nusantara cipta pusat tumbuh ekonomi buka peluang investasi gerak unggul konstruksi energi teknologi hijau,positif
Pembangunan IKN Nusantara menjadi langkah strategis untuk mendorong pemerataan ekonomi dan pembangunan tidak hanya terpusat di Pulau Jawa tapi menyebar ke wilayah timur Indonesia. #IKNUntukIndonesia #PemerataanPembangunan ,bangun nusantara langkah strategis dorong perata ekonomi bangun pusat pulau sebar wilayah timur indonesia,positif
Rektor Uniba IZ Komentari Udara Bersih IKN yang Kondusif untuk Aktivitas Berolahraga Jogging &amp; Running ,rektor komentar udara bersih kondusif aktivitas olahraga,positif
Secara materi kalau IKN mau pindah silahkan. Tapi secara spiritual magis dan kesakralan tidak ada yang berani jamin dan dukung 100% Tuan dan Puan. Saya sudah cek dari ujung barat ke timur utara ke selatan bolak balik. Tidak ada yang berani. Urusannya ke langit ke 7. ,materi pindah silah spiritual magis sakral berani jamin dukung tuan puan cek ujung barat timur utara selatan bolak berani urus langit,positif
IKN: Jalan terus walau hujan wacana! Rp 13 5 T bukan buat gaya tapi buat kerja nyata! #IKNTahapDua #AnggaranGedeBanget #CPNSSiapPindah #IKNJalanTerus ,jalan hujan wacana gaya kerja nyata,negatif
@Bashu2950331 @tham878 Jangan ngekek ngekek. Yg dibubarin itu Satgas IKN karena sudah dibentuk Otoritas IKN. jadi bukan Otoritas dibubarin. Anda ga bangga dg juga IKN gpp.,bentuk otoritas otoritas bangga,positif
@Luke_Paath @Franken_blues @gibran_tweet Segudang maslah jokowi Mlalui DR IKN MOBIL ESEMKA IJAZAH DLLmasih banyak lagi...dan jg presiden terkorup dunia dlm catatan OCCRP Kemungkinn jokowi akan menghadpi hukuman mati ditipikor ..,gudang mas mobil ijazah presiden korup dunia catat hukum mati,negatif
