data_clean,lowercasing,remove_punctuation,tokenizing,stopword,stemming,sentiment
baca baca dalam ikn ilustrasi jaman kabupaten kasih kemarin kendala lokasi mewah paser terima tinggal,gw terakhir baca bobo jaman sd termasuk bacaan mewah pada waktu itu dikarenakan kendala lokasi (tinggal dipedalaman kabupaten paser yg katanya mau jadi ikn). yang mana hampir ± tahun yg lalu. tapi masih ingat seperti baru kemarin dengan ilustrasi ini.. terima kasih,gw terakhir baca bobo jaman sd termasuk bacaan mewah pada waktu itu dikarenakan kendala lokasi tinggal dipedalaman kabupaten paser yg katanya mau jadi ikn yang mana hampir ± tahun yg lalu tapi masih ingat seperti baru kemarin dengan ilustrasi ini terima kasih,"[""saya"", ""terakhir"", ""baca"", ""bobo"", ""jaman"", ""sd"", ""termasuk"", ""bacaan"", ""mewah"", ""pada"", ""waktu"", ""itu"", ""dikarenakan"", ""kendala"", ""lokasi"", ""tinggal"", ""dipedalaman"", ""kabupaten"", ""paser"", ""yg"", ""katanya"", ""mau"", ""jadi"", ""ikn"", ""yang"", ""mana"", ""hampir"", ""±"", ""tahun"", ""yg"", ""lalu"", ""tapi"", ""masih"", ""ingat"", ""seperti"", ""baru"", ""kemarin"", ""dengan"", ""ilustrasi"", ""ini"", ""terima"", ""kasih""]","[""baca"", ""bobo"", ""jaman"", ""sd"", ""bacaan"", ""mewah"", ""kendala"", ""lokasi"", ""tinggal"", ""dipedalaman"", ""kabupaten"", ""paser"", ""ikn"", ""±"", ""kemarin"", ""ilustrasi"", ""terima"", ""kasih""]","[""baca"", ""baca"", ""dalam"", ""ikn"", ""ilustrasi"", ""jaman"", ""kabupaten"", ""kasih"", ""kemarin"", ""kendala"", ""lokasi"", ""mewah"", ""paser"", ""terima"", ""tinggal""]",negatif
cabang dinasti dinasti dukung dukung ikn jilat kaya kelas lawas masyarakat tau versi,  buzzer masyarakat sih gue dukung ngga tau kalau kelas penjilat kaya elu dukungnya dinasti lah ya. elu dinasti versi kcic apa ikn? atau lawas version cabang kertajati?,  buzzer masyarakat sih gue dukung ngga tau kalau kelas penjilat kaya elu dukungnya dinasti lah ya elu dinasti versi kcic apa ikn atau lawas version cabang kertajati,"[""buzzer"", ""masyarakat"", ""sih"", ""saya"", ""dukung"", ""tidak"", ""tau"", ""kalau"", ""kelas"", ""penjilat"", ""kaya"", ""kamu"", ""dukungnya"", ""dinasti"", ""lah"", ""ya"", ""kamu"", ""dinasti"", ""versi"", ""kcic"", ""apa"", ""ikn"", ""atau"", ""lawas"", ""version"", ""cabang"", ""kertajati""]","[""buzzer"", ""masyarakat"", ""dukung"", ""tau"", ""kelas"", ""penjilat"", ""kaya"", ""dukungnya"", ""dinasti"", ""dinasti"", ""versi"", ""kcic"", ""ikn"", ""lawas"", ""version"", ""cabang"", ""kertajati""]","[""cabang"", ""dinasti"", ""dinasti"", ""dukung"", ""dukung"", ""ikn"", ""jilat"", ""kaya"", ""kelas"", ""lawas"", ""masyarakat"", ""tau"", ""versi""]",positif
cermin identitas ikn indonesia kota maju nasional satu semangat simbol,ikn bukan hanya ibu kota baru tapi simbol identitas nasional yang mencerminkan semangat persatuan inklusivitas dan kemajuan indonesia ke depan.   ,ikn bukan hanya ibu kota baru tapi simbol identitas nasional yang mencerminkan semangat persatuan inklusivitas dan kemajuan indonesia ke depan   ,"[""ikn"", ""bukan"", ""hanya"", ""ibu"", ""kota"", ""baru"", ""tapi"", ""simbol"", ""identitas"", ""nasional"", ""yang"", ""mencerminkan"", ""semangat"", ""persatuan"", ""inklusivitas"", ""dan"", ""kemajuan"", ""indonesia"", ""ke"", ""depan""]","[""ikn"", ""kota"", ""simbol"", ""identitas"", ""nasional"", ""mencerminkan"", ""semangat"", ""persatuan"", ""inklusivitas"", ""kemajuan"", ""indonesia""]","[""cermin"", ""identitas"", ""ikn"", ""indonesia"", ""kota"", ""maju"", ""nasional"", ""satu"", ""semangat"", ""simbol""]",positif
bas ikn kota lanjut lingkung orientasi pintar ramah rancang teknologi,ikn dirancang sebagai kota masa depan yang ramah lingkungan berbasis teknologi pintar dan berorientasi pada keberlanjutan.   ,ikn dirancang sebagai kota masa depan yang ramah lingkungan berbasis teknologi pintar dan berorientasi pada keberlanjutan   ,"[""ikn"", ""dirancang"", ""sebagai"", ""kota"", ""masa"", ""depan"", ""yang"", ""ramah"", ""lingkungan"", ""berbasis"", ""teknologi"", ""pintar"", ""dan"", ""berorientasi"", ""pada"", ""keberlanjutan""]","[""ikn"", ""dirancang"", ""kota"", ""ramah"", ""lingkungan"", ""berbasis"", ""teknologi"", ""pintar"", ""berorientasi"", ""keberlanjutan""]","[""bas"", ""ikn"", ""kota"", ""lanjut"", ""lingkung"", ""orientasi"", ""pintar"", ""ramah"", ""rancang"", ""teknologi""]",positif
bahan bangun hidup ikn jasa juta kerja lokal makan pasok proyek rantai serap tenaga,proyek ikn menyerap jutaan tenaga kerja dan menghidupkan umkm lokal melalui rantai pasok bahan bangunan makanan dan jasa lainnya.   ,proyek ikn menyerap jutaan tenaga kerja dan menghidupkan umkm lokal melalui rantai pasok bahan bangunan makanan dan jasa lainnya   ,"[""proyek"", ""ikn"", ""menyerap"", ""jutaan"", ""tenaga"", ""kerja"", ""dan"", ""menghidupkan"", ""umkm"", ""lokal"", ""melalui"", ""rantai"", ""pasok"", ""bahan"", ""bangunan"", ""makanan"", ""dan"", ""jasa"", ""lainnya""]","[""proyek"", ""ikn"", ""menyerap"", ""jutaan"", ""tenaga"", ""kerja"", ""menghidupkan"", ""umkm"", ""lokal"", ""rantai"", ""pasok"", ""bahan"", ""bangunan"", ""makanan"", ""jasa""]","[""bahan"", ""bangun"", ""hidup"", ""ikn"", ""jasa"", ""juta"", ""kerja"", ""lokal"", ""makan"", ""pasok"", ""proyek"", ""rantai"", ""serap"", ""tenaga""]",negatif
buka cipta ekonomi energi gerak hijau ikn investasi konstruksi nusantara peluang pusat teknologi tumbuh unggul,ikn nusantara menciptakan pusat pertumbuhan ekonomi baru membuka peluang investasi dan menggerakkan sektor-sektor unggulan seperti konstruksi energi dan teknologi hijau.   ,ikn nusantara menciptakan pusat pertumbuhan ekonomi baru membuka peluang investasi dan menggerakkan sektorsektor unggulan seperti konstruksi energi dan teknologi hijau   ,"[""ikn"", ""nusantara"", ""menciptakan"", ""pusat"", ""pertumbuhan"", ""ekonomi"", ""baru"", ""membuka"", ""peluang"", ""investasi"", ""dan"", ""menggerakkan"", ""sektorsektor"", ""unggulan"", ""seperti"", ""konstruksi"", ""energi"", ""dan"", ""teknologi"", ""hijau""]","[""ikn"", ""nusantara"", ""menciptakan"", ""pusat"", ""pertumbuhan"", ""ekonomi"", ""membuka"", ""peluang"", ""investasi"", ""menggerakkan"", ""sektorsektor"", ""unggulan"", ""konstruksi"", ""energi"", ""teknologi"", ""hijau""]","[""buka"", ""cipta"", ""ekonomi"", ""energi"", ""gerak"", ""hijau"", ""ikn"", ""investasi"", ""konstruksi"", ""nusantara"", ""peluang"", ""pusat"", ""teknologi"", ""tumbuh"", ""unggul""]",positif
bangun bangun dorong ekonomi ikn indonesia langkah nusantara perata pulau pusat sebar strategis timur wilayah,pembangunan ikn nusantara menjadi langkah strategis untuk mendorong pemerataan ekonomi dan pembangunan tidak hanya terpusat di pulau jawa tapi menyebar ke wilayah timur indonesia.   ,pembangunan ikn nusantara menjadi langkah strategis untuk mendorong pemerataan ekonomi dan pembangunan tidak hanya terpusat di pulau jawa tapi menyebar ke wilayah timur indonesia   ,"[""pembangunan"", ""ikn"", ""nusantara"", ""menjadi"", ""langkah"", ""strategis"", ""untuk"", ""mendorong"", ""pemerataan"", ""ekonomi"", ""dan"", ""pembangunan"", ""tidak"", ""hanya"", ""terpusat"", ""di"", ""pulau"", ""jawa"", ""tapi"", ""menyebar"", ""ke"", ""wilayah"", ""timur"", ""indonesia""]","[""pembangunan"", ""ikn"", ""nusantara"", ""langkah"", ""strategis"", ""mendorong"", ""pemerataan"", ""ekonomi"", ""pembangunan"", ""terpusat"", ""pulau"", ""jawa"", ""menyebar"", ""wilayah"", ""timur"", ""indonesia""]","[""bangun"", ""bangun"", ""dorong"", ""ekonomi"", ""ikn"", ""indonesia"", ""langkah"", ""nusantara"", ""perata"", ""pulau"", ""pusat"", ""sebar"", ""strategis"", ""timur"", ""wilayah""]",negatif
aktivitas bersih ikn komentar kondusif olahraga rektor udara,rektor uniba iz komentari udara bersih ikn yang kondusif untuk aktivitas berolahraga jogging &amp; running ,rektor uniba iz komentari udara bersih ikn yang kondusif untuk aktivitas berolahraga jogging amp running ,"[""rektor"", ""uniba"", ""iz"", ""komentari"", ""udara"", ""bersih"", ""ikn"", ""yang"", ""kondusif"", ""untuk"", ""aktivitas"", ""berolahraga"", ""jogging"", ""amp"", ""running""]","[""rektor"", ""uniba"", ""iz"", ""komentari"", ""udara"", ""bersih"", ""ikn"", ""kondusif"", ""aktivitas"", ""berolahraga"", ""jogging"", ""amp"", ""running""]","[""aktivitas"", ""bersih"", ""ikn"", ""komentar"", ""kondusif"", ""olahraga"", ""rektor"", ""udara""]",positif
barat berani berani bolak cek dukung ikn jamin langit magis materi pindah puan sakral selatan silah spiritual timur tuan ujung urus utara,secara materi kalau ikn mau pindah silahkan. tapi secara spiritual magis dan kesakralan tidak ada yang berani jamin dan dukung % tuan dan puan. saya sudah cek dari ujung barat ke timur utara ke selatan bolak balik. tidak ada yang berani. urusannya ke langit ke . ,secara materi kalau ikn mau pindah silahkan tapi secara spiritual magis dan kesakralan tidak ada yang berani jamin dan dukung  tuan dan puan saya sudah cek dari ujung barat ke timur utara ke selatan bolak balik tidak ada yang berani urusannya ke langit ke  ,"[""secara"", ""materi"", ""kalau"", ""ikn"", ""mau"", ""pindah"", ""silahkan"", ""tapi"", ""secara"", ""spiritual"", ""magis"", ""dan"", ""kesakralan"", ""tidak"", ""ada"", ""yang"", ""berani"", ""jamin"", ""dan"", ""dukung"", ""tuan"", ""dan"", ""puan"", ""saya"", ""sudah"", ""cek"", ""dari"", ""ujung"", ""barat"", ""ke"", ""timur"", ""utara"", ""ke"", ""selatan"", ""bolak"", ""balik"", ""tidak"", ""ada"", ""yang"", ""berani"", ""urusannya"", ""ke"", ""langit"", ""ke""]","[""materi"", ""ikn"", ""pindah"", ""silahkan"", ""spiritual"", ""magis"", ""kesakralan"", ""berani"", ""jamin"", ""dukung"", ""tuan"", ""puan"", ""cek"", ""ujung"", ""barat"", ""timur"", ""utara"", ""selatan"", ""bolak"", ""berani"", ""urusannya"", ""langit""]","[""barat"", ""berani"", ""berani"", ""bolak"", ""cek"", ""dukung"", ""ikn"", ""jamin"", ""langit"", ""magis"", ""materi"", ""pindah"", ""puan"", ""sakral"", ""selatan"", ""silah"", ""spiritual"", ""timur"", ""tuan"", ""ujung"", ""urus"", ""utara""]",positif
gaya hujan ikn jalan kerja nyata wacana,ikn: jalan terus walau hujan wacana! rp   t bukan buat gaya tapi buat kerja nyata!     ,ikn jalan terus walau hujan wacana rp   t bukan buat gaya tapi buat kerja nyata     ,"[""ikn"", ""jalan"", ""terus"", ""walau"", ""hujan"", ""wacana"", ""rp"", ""t"", ""bukan"", ""buat"", ""gaya"", ""tapi"", ""buat"", ""kerja"", ""nyata""]","[""ikn"", ""jalan"", ""hujan"", ""wacana"", ""rp"", ""t"", ""gaya"", ""kerja"", ""nyata""]","[""gaya"", ""hujan"", ""ikn"", ""jalan"", ""kerja"", ""nyata"", ""wacana""]",negatif
