full_text,cleaned,sentiment,label
Gw terakhir baca bobo jaman SD termasuk bacaan Mewah pada waktu itu dikarenakan kendala lokasi (tinggal dipedalaman Kabupaten Paser yg katanya mau jadi IKN). Yang mana hampir ±25 Tahun yg lalu. Tapi masih ingat seperti baru kemarin dengan ilustrasi ini.. Terima kasih,gw baca bobo jaman sd masuk baca mewah kendala lokasi tinggal kabupaten paser yg ikn yg kemarin ilustrasi terima kasih,negatif,0
Lu ke ikn Gak pak Ayolah Gak pak,lu ikn gak ayo gak,negatif,0
@chanyeolundip @tanyarlfes Dan IKN,chanyeolundip tanyarlfes ikn,negatif,0
@Bagaspurnomoadi @tanyarlfes Buzzer masyarakat sih gue dukung ngga tau kalau kelas penjilat kaya elu dukungnya dinasti lah ya. Elu dinasti versi KCIC apa IKN? Atau lawas version cabang Kertajati?,bagaspurnomoadi tanyarlfes buzzer masyarakat sih gue dukung ngga tau kelas jilat kaya elu dukung dinasti ya elu dinasti versi kcic ikn lawas version cabang kertajati,negatif,0
IKN bukan hanya ibu kota baru tapi simbol identitas nasional yang mencerminkan semangat persatuan inklusivitas dan kemajuan Indonesia ke depan. #IKNBanggaIndonesia #SimbolPersatuan https://t.co/i2PEpmVk4z,ikn kota simbol identitas nasional cermin semangat inklusivitas maju indonesia iknbanggaindonesia simbolpersatuan,negatif,0
IKN dirancang sebagai kota masa depan yang ramah lingkungan berbasis teknologi pintar dan berorientasi pada keberlanjutan. #KotaHijau #SmartCityIKN https://t.co/Yk6dgP2Xo3,ikn rancang kota ramah lingkung bas teknologi pintar orientasi kotahijau smartcityikn,negatif,0
Proyek IKN menyerap jutaan tenaga kerja dan menghidupkan UMKM lokal melalui rantai pasok bahan bangunan makanan dan jasa lainnya. #IKNCiptakanKerja #UMKMNaikKelas https://t.co/gXOYEjFITM,proyek ikn serap juta tenaga kerja hidup umkm lokal rantai pasok bahan bangun makan jasa iknciptakankerja umkmnaikkelas,negatif,0
IKN Nusantara menciptakan pusat pertumbuhan ekonomi baru membuka peluang investasi dan menggerakkan sektor-sektor unggulan seperti konstruksi energi dan teknologi hijau. #IKNMendorongEkonomi #InvestasiHijau https://t.co/KPEvhWihB6,ikn nusantara cipta pusat tumbuh ekonomi buka peluang investasi gerak sektorsektor unggul konstruksi energi teknologi hijau iknmendorongekonomi investasihijau,negatif,0
Pembangunan IKN Nusantara menjadi langkah strategis untuk mendorong pemerataan ekonomi dan pembangunan tidak hanya terpusat di Pulau Jawa tapi menyebar ke wilayah timur Indonesia. #IKNUntukIndonesia #PemerataanPembangunan https://t.co/npNjvBjIlG,bangun ikn nusantara langkah strategis dorong perata ekonomi bangun pusat pulau jawa sebar wilayah timur indonesia iknuntukindonesia pemerataanpembangunan,negatif,0
Rektor Uniba IZ Komentari Udara Bersih IKN yang Kondusif untuk Aktivitas Berolahraga Jogging &amp; Running https://t.co/6ZwWutALYl,rektor uniba iz komentar udara bersih ikn kondusif aktivitas olahraga jogging amp running,negatif,0
Secara materi kalau IKN mau pindah silahkan. Tapi secara spiritual magis dan kesakralan tidak ada yang berani jamin dan dukung 100% Tuan dan Puan. Saya sudah cek dari ujung barat ke timur utara ke selatan bolak balik. Tidak ada yang berani. Urusannya ke langit ke 7. ,materi ikn pindah silah spiritual magis sakral berani jamin dukung tuan puan cek ujung barat timur utara selatan bolak berani urus langit,negatif,0
IKN: Jalan terus walau hujan wacana! Rp 13 5 T bukan buat gaya tapi buat kerja nyata! #IKNTahapDua #AnggaranGedeBanget #CPNSSiapPindah #IKNJalanTerus https://t.co/DSTEoeIWhE,ikn jalan hujan wacana rp t gaya kerja nyata ikntahapdua anggarangedebanget cpnssiappindah iknjalanterus,negatif,0
@sopitas Kkninokn.nkmnoin.nonin.nooknnknnonknkoininkoni.knkmiokninink.ikn.kkiiiinominmini.,sopitas kkninoknnkmnoinnoninnooknnknnonknkoininkoniknkmioknininkiknkkiiiinominmini,negatif,0
@Bashu2950331 @tham878 Jangan ngekek ngekek. Yg dibubarin itu Satgas IKN karena sudah dibentuk Otoritas IKN. jadi bukan Otoritas dibubarin. Anda ga bangga dg juga IKN gpp.,bashu tham ngekek ngekek yg dibubarin satgas ikn bentuk otoritas ikn otoritas dibubarin ga bangga dg ikn gpp,positif,0
@Luke_Paath @Franken_blues @gibran_tweet Segudang maslah jokowi Mlalui DR IKN MOBIL ESEMKA IJAZAH DLLmasih banyak lagi...dan jg presiden terkorup dunia dlm catatan OCCRP Kemungkinn jokowi akan menghadpi hukuman mati ditipikor ..,lukepaath frankenblues gibrantweet gudang mas jokowi mlalui dr ikn mobil esemka ijazah dllmasih lagidan jg presiden korup dunia dlm catat occrp kemungkinn jokowi menghadpi hukum mati ditipikor,negatif,0
@democrazymedia Bersatu dalam urusan membangun basisnya itu ilmu pengetahuan. Selama ini kebijakan Jokowi apa berdasar ilmu pengetahuan? Kereta cepat IKN food estate jalan tol impor tambang apa berdasar ilmu pengetahuan? Jokowi yg membelah bangsa sekarang bergaya ngajak bersatu.,democrazymedia urus bangun basis ilmu bijak jokowi dasar ilmu kereta cepat ikn food estate jalan tol impor tambang dasar ilmu jokowi yg belah bangsa gaya ngajak,negatif,0
Ya gimana yaa itu udah ku tahan² gak CO ke itci karena kalo jastip ke Nadia tuhh aku malas ngambil ke tanjung. Semenjak Nada gak kerja di IKN lagi aku kehilangan kurirku wkwkwkkw,ya gimana yaa udah ku tahan gak co itci kalo jastip nadia tuhh malas ngambil tanjung semenjak nada gak kerja ikn hilang kurir wkwkwkkw,negatif,0
@ReflyHZ Jokowi adalah contoh Presiden yg GATOT (gagal total) dan HILANG KEMALUANNYA memimpin 10 th mulai dari mobil SMKA dan banyak lagi permasalahan sampai terakhir IKN itu nawadosa yg hisabnya tanpa batas Nauzubillahiminzalik ,reflyhz jokowi contoh presiden yg gatot gagal total hilang malu pimpin th mobil smka ikn nawadosa yg hisab batas nauzubillahiminzalik,negatif,0
@tham878 Apa manfaatnya IKN sama elu? Coba sebutin apa elu dikasi rumah disitu? Tinggal disitu? Cuma rasa bangga tapi ga ada manfaatnya buat apa? Trus bagaimana masyarakat adat yg terpinggirkan? Yg terkena dampak pembangunan? Pernah mikir ngga? Trus lu bilang sakit hati? Kita marah.,tham manfaat ikn elu coba sebutin elu kasi rumah situ tinggal situ bangga ga manfaat trus masyarakat adat yg pinggir yg kena dampak bangun mikir ngga trus lu bilang sakit hati marah,positif,0
@Mdy_Asmara1701 Sama ama orang paling hina di negeri ini IKN ratusan investor sudah ada tp boong @NasbiHasan menunjukkan kabinet paling hina selama negeri ini merdeka,mdyasmara ama orang hina negeri ikn ratus investor tp boong nasbihasan kabinet hina negeri merdeka,negatif,0
@faizalassegaf Wadowww....kekira ikn bs di bom gak??? ‍,faizalassegaf wado ikn bs bom gak,negatif,0
@tham878 Anak Wabah sama Bani Lowbet pada stress nangis bombay ngelihat kondisi IKN yg makin menyalaaaaaaaa ,tham anak wabah bani lowbet stress nang bombay ngelihat kondisi ikn yg menyalaaaaaaaa,negatif,0
@heksagoner kenapa ikn,heksagoner ikn,negatif,0
@tham878 Hey begoo0 lu sdh pernah ke IKN blom??,tham hey begoo lu sdh ikn blom,negatif,0
Prabowo harus membawa Gibran ke IKN dan membuangnya di sana.,prabowo bawa gibran ikn buang,negatif,0
@50ngoku @gm_gm Kalo ga kena tipu saat ini sudah ada ribuan mobil esemka berada dijalan nusantara hutang negara makin berkurang karena saham freeport sudah kita miliki 51% ikn jadi indah ga kaya hutan krn banyak infestor dan masih banyak lagi,ngoku gmgm kalo ga kena tipu ribu mobil esemka jalan nusantara hutang negara saham freeport milik ikn indah ga kaya hutan krn infestor,negatif,0
@democrazymedia Setelah kekayaan negara dikeruk untuk proyek mereka dan kroninya suara rakyat juga sama sekali tidak didengar (termasuk IKN Food estate tanah adat pencemaran tambang perubahan UU u/ cawapres serta yg terbaru masalah ijazah); Koq sekarang narasinya bersatu membangun negeri?,democrazymedia kaya negara keruk proyek kroni suara rakyat dengar masuk ikn food estate tanah adat cemar tambang ubah uu u cawapres yg ijazah koq narasi bangun negeri,negatif,0
@Chynthia_K Dalam kasus pagar laut kalian kemana Dalam kasus ikn kalian kemana Dalam kasus penyerobotan tanah oleh pik 2 kalian kemana Dalam kasus ilegal export nikel jutaan ton kalian kemana Dalam kasus oplosan BBM merugikan sampe 1000 T kalian kemana ? Belum kasus kasus lainnya,chynthiak pagar laut ikn serobot tanah pik ilegal export nikel juta ton oplos bbm rugi sampe t,negatif,0
@Wahyuhdp1 @Djumari899149 @DokterTifa @jokowi Lbh mudah mengatasi banjir di jakarta kl sdh jd presiden sedang menjabat gub jakarta lalu ditinggalkan Esemka 11rb triliun hutang negara meninggkat drastis IKN mangkrak.. wiwokdetok tokdetok ,wahyuhdp djumari doktertifa jokowi lbh mudah banjir jakarta kl sdh jd presiden jabat gub jakarta tinggal esemka rb triliun hutang negara meninggkat drastis ikn mangkrak wiwokdetok tokdetok,negatif,0
Pelaksanaan Proses Indetifikasi Penerbitan SIM. #polantashadir #polripresisi #korlantas #ibukotanusantara #ikn #polresppu #satlantasppu #polri https://t.co/iPsbQFaL1n,laksana proses indetifikasi terbit sim polantashadir polripresisi korlantas ibukotanusantara ikn polresppu satlantasppu polri,negatif,0
@neVerAl0nely Kedua kampung itu di relokasi ke IKN saja,neveralnely kampung relokasi ikn,negatif,0
@geloraco Kalau di terbitkan akan kena semua mentri2 ex jokowi.termasuk Yusril punya tanah di IKN.,geloraco terbit kena tri ex jokowitermasuk yusril tanah ikn,negatif,0
@tempodotco MBG ini 11/12 dengan IKN saking deaftone nya sampai kritikpun dikira antek asing aseng ,tempodotco mbg ikn saking deaftone nya kritik antek asing aseng,negatif,0
@Tan_Mar3M sekeluarga suruh tinggal di IKN aja... ,tanmarm keluarga suruh tinggal ikn aja,negatif,0
Komisi II DPR RI : Kaji Kesiapan Infrastruktur Terkait Pemindahan ASN Ke IKN - TVR 120 https://t.co/rFCyMVTcAM,komisi ii dpr ri kaji kesiap infrastruktur kait pindah asn ikn tvr,negatif,0
@Qarthu @tempodotco @Qarthu @tempodotco Proyek IKN masih berjalan dengan anggaran Rp 48 8 triliun untuk 2025-2029 dan investasi baru Rp 6 5 triliun di 2025. Infrastruktur seperti kantor presiden (90%) dan istana negara (80%) terus dibangun tapi ada kendala seperti konstruksi lambat dan relokasi ASN,qarthu tempodotco qarthu tempodotco proyek ikn jalan anggar rp triliun investasi rp triliun infrastruktur kantor presiden istana negara bangun kendala konstruksi lambat relokasi asn,negatif,0
@grok @tempodotco ikn kok gada berita? apakah mangkrak?,grok tempodotco ikn gada berita mangkrak,negatif,0
@tham878 Mantap indonesia harus maju...untuk maju harus berbuat sesuatu...sesuatu itu sdh di mulai oleh pak jokowi...yaitu IKN,tham mantap indonesia majuuntuk maju sesuatusesuatu sdh jokowiyaitu ikn,positif,0
Rombongan study tour SMA kabupaten ke IKN https://t.co/rgnKM2Fik8,rombong study tour sma kabupaten ikn,negatif,0
@CAMERALIVE6849 Sepertinya walaupun diruqiyah tetap aja orang ini ngigau terus maklum... kepala garuda sudah dipenggal dari belakang sebagaimana ikon patung garuda di tempat yang mereka sebut IKN. Lagipula logi partai Gerindra cuma kepala burung Garuda. Jadi jelas sudah orang ini OMON² !,cameralive diruqiyah aja orang ngigau maklum kepala garuda penggal ikon patung garuda ikn lagipula log partai gerindra kepala burung garuda orang omon,negatif,0
@KikeHermawan @H1m4_W4r1 Dimana2 psk sudah marak tp kenapa ya ikn yg loe bidik oh ia baru ingat itukan sumber buat kau 16 or 24 marah tak jelas suka halu https://t.co/3ZuQvIPq0R ada harapan sembuh di 2029 itupun kalo elu mau berkorban jd manusia seutuhnya.ia gak @H1m4_W4r1 tos dulu dong teh di pagi hari,kikehermawan hmwr psk marak tp ya ikn yg loe bidik oh sumber kau or marah suka halu harap sembuh kalo elu korban jd manusia seutuhnyaia gak hmwr tos teh pagi,negatif,0
@tham878 WOWWW SANGAT RAMAI SEKALI AKTIVITAS DISANA. GA SIA SIA PAK JOKOWI PINDAHIN IBUKOTA KE IKN. TERLIHAT JUGA DI VIDEO AKTIVITAS PEKERJA ASN YANG SUDAH NGANTOR DI IKN. HIDUP JOKOWI 99x ,tham wowww ramai aktivitas ga sia sia jokowi pindahin ibukota ikn lihat video aktivitas kerja asn ngantor ikn hidup jokowi x,negatif,0
@tham878 Sekarang Ibu kota Republik Indonesia yg benar yg mana ya ? IKN atw Masih di Jakarta ?,tham kota republik indonesia yg yg ya ikn atw jakarta,negatif,0
suruh ikut cpns aja biar klo lolos skalian dikurung di ikn suruh jaga tugu lorem ipsum,suruh cpns aja biar klo lolos skalian kurung ikn suruh jaga tugu lorem ipsum,negatif,0
@Maryono2Y98978 @Zay34562 Pertama dia bilang: - esemka sdh dipesan lebih dr 6000 = nipu - IkN tdk dari APBN= boong - Sudah ada investor IKN dari bla2=bacot gede doang - iKN sdh diyempati juno 2024 = sudah tp belum - kabinet kerempeng kek badannya= gemuk kek kebo - ankny gk msk politik=msuk dibntu usman,maryonoy zay bilang esemka sdh pes dr nipu ikn tdk apbn boong investor ikn blabacot gede doang ikn sdh diyempati juno tp kabinet kerempeng kek badan gemuk kek kebo ankny gk msk politikmsuk dibntu usman,negatif,0
@kompascom Terlalu banyak satgas namun tak ada nampak hasilnya Satgas Penanganan Polusi Udara Satgas Peningkatan Ekspor Nasional Satgas Percepatan Perolehan Tanah dan Investasi di Ibu Kota Negara (IKN) Satgas Penanganan BLBI Satgas Pemberantasan Judi Daring Satgas Deregulasi Kebijakan,kompascom satgas nampak hasil satgas tangan polusi udara satgas tingkat ekspor nasional satgas cepat tanah investasi kota negara ikn satgas tangan blbi satgas berantas judi daring satgas deregulasi bijak,negatif,1
@tham878 Anjing buzzer ternakan mulyono emang pada dongo ..otoritas ikn sudah dibubarin alias mangkrak buzzer termul dongo asal ngebacot doang tobat lu anjing ..!!!!!!!,tham anjing buzzer terna mulyono emang dongo otoritas ikn dibubarin alias mangkrak buzzer termul dongo ngebacot doang tobat lu anjing,negatif,0
@ikan154 @tham878 Seluruh rakyat setuju IKN. Tapi arogan juga yg maksa pindah Agustus 2024,ikan tham rakyat tuju ikn arogan yg maksa pindah agustus,negatif,0
@tham878 Pembangunan IKN itu pembangunan jangka panjang.....bertahap tahap MAKA SANGAT ANEH JIKA ADA ORANG YG NGEBET BANGET PINDAH KE IKN AGUSTUS 2024. keburu napsu...nuruti napsu..gak rasional,tham bangun ikn bangun jangka panjangbertahap tahap aneh orang yg ngebet banget pindah ikn agustus keburu napsunuruti napsugak rasional,negatif,0
Gue milih IKN karena ide banh @karf1anda #inspairing,gue milih ikn ide banh karfanda inspairing,negatif,0
@MayaA62580468 Jokowi juga lupa sudah bohongin rakyatnya ...sebohong bohongnya ...mulai mobil Esemka ..investor IKN ,mayaa jokowi lupa bohongin rakyat bohong bohong mobil esemka investor ikn,negatif,0
Prestasi Jokowi selama jadi presiden : IKN mangkrak Bandara Kertajati lesu Esemka ngibul mengkatrol anaknya jadi wapres utang luar negeri menggunung nilai tukar rupiah jeblok indeks pendidikan nasional memalukan dan masih banyak lagi deh bobroknya.,prestasi jokowi presiden ikn mangkrak bandara kertajati lesu esemka ngibul katrol anak wapres utang negeri gunung nilai tukar rupiah jeblok indeks didik nasional malu deh bobrok,negatif,0
@cinecrib_ Harusnya diterusin bakatnya buat bakar ikn istana negara dpr kantor polisi barak tentara,cinecrib diterusin bakat bakar ikn istana negara dpr kantor polisi barak tentara,negatif,0
@Noviana39433210 @ElhassanTa1479 @ApriliaLin Ordal esemka kerja di IKN jangan jangan ente juga yg pegang 11.000T,noviana elhassanta aprilialin ordal esemka kerja ikn ente yg pegang t,negatif,0
@ARSIPAJA Yang Cungkring punya Megaproyek kuburan IKN yang gemoy punya Megaproyek MBG. Tujuannya sama bancakan duit negara. Damn lah........,arsipaja cungkring megaproyek kubur ikn gemoy megaproyek mbg tuju bancak duit negara damn,negatif,0
@MayaA62580468 Kebohongan publik janjimu gimana? Esemka IKN dan lain lain,mayaa bohong publik janji gimana esemka ikn,negatif,0
@democrazymedia membangun negeri mata loe ikn aja gk beres. goblog,democrazymedia bangun negeri mata loe ikn aja gk beres goblog,negatif,0
@samarchitect86 @arwidodo Emangnya lo udah pernah liat ijazah asli si tukang bohong ini ? Esemka tipu2 biar jadi gub dki 11000 T dikantongnya tipu2 tukang obat ratusan investor ikn tipu2 anak tk. Silahkan proses hukum seluruh rakyat indonesia kalo benar dia punya ijazah asli.,samarchitect arwidodo emang lo udah liat ijazah asli si tukang bohong esemka tipu biar gub dki t kantong tipu tukang obat ratus investor ikn tipu anak tk silah proses hukum rakyat indonesia kalo ijazah asli,negatif,0
@DedynurPalakka Seperti ribuan investor yg ngantri di IKN smp sekarang gak jelas juntrungannya,dedynurpalakka ribu investor yg ngantri ikn smp gak juntrung,negatif,0
3. Ahli Tarik Investasi Selama menjabat sebagai Menteri Investasi Bahlil dikenal piawai menarik investor untuk pembangunan Indonesia termasuk proyek strategis seperti Ibu Kota Nusantara (IKN).,ahli tarik investasi jabat menteri investasi bahlil kenal piawai tarik investor bangun indonesia masuk proyek strategis kota nusantara ikn,negatif,0
Sdh benar kalau dia dimakzulkan!. Karena buatnya mainan jauh lebih berharga dari pada nasib rakyat dan bangsa ini. Ancur...ancur!! Mainan jauh lebih berharga daripada tugas negara. Jika negara nyuruh dia pindah ke IKN terus dia menolak-bapaknya langsung cawe2 supaya dia https://t.co/HkXOzhLw5P,sdh makzul main harga nasib rakyat bangsa ancurancur main harga tugas negara negara nyuruh pindah ikn menolakbapaknya langsung cawe,negatif,0
gak bisa beki mainan. Bagaimana ini tanggung jawab dia sebagai wapres. Guru aja kalau pns harus mau dikirim ke pelosok. Ini IKN mau dijadikan ibukota kok waoresnya malah tinggal di jkt? Maunya senang2 aja di jkt dengan mainannya terus piye nasib rakyat sama bangsa ini?,gak bek main tanggung wapres guru aja pns kirim pelosok ikn ibukota waoresnya tinggal jkt senang aja jkt main piye nasib rakyat bangsa,negatif,0
Ooopss! Ternyata mainan jauh lebih berharga dari pada nasib rakyat dan bangsa ini. Bapaknya yg ngotot bangun IKN dan maksa ibukota oindah nun jauh ke sana. Kemudian bangsa ini disodorin anaknya yg jadi wapres tapi ogah pindah ke IKN karena belum ada mall https://t.co/tLZqbCF2ES,ooopss nyata main harga nasib rakyat bangsa yg ngotot bangun ikn maksa ibukota oindah nun bangsa disodorin anak yg wapres ogah pindah ikn mall,negatif,0
3. Ahli Tarik Investasi Selama menjabat sebagai Menteri Investasi Bahlil dikenal piawai menarik investor untuk pembangunan Indonesia termasuk proyek strategis seperti Ibu Kota Nusantara (IKN).,ahli tarik investasi jabat menteri investasi bahlil kenal piawai tarik investor bangun indonesia masuk proyek strategis kota nusantara ikn,negatif,0
@DedynurPalakka Esemka 11 rbu triliyun dan IKN adlh kebohongan yg rumit dan berkelok2,dedynurpalakka esemka rbu triliyun ikn adlh bohong yg rumit kelok,negatif,0
@tham878 IKN DITUTUP JADI TEMPAT ECEK ECEK..,tham ikn tutup ecek ecek,negatif,0
@tham878 Buzzer jokowi goblok..IKN DITUTUP TOLOL,tham buzzer jokowi goblokikn tutup tolol,negatif,0
@regar_op0sisi penipu tak usah di percaya. terlalu banyak yg sudah di ucapkannya tapi kenyataan tidak ada sama sekali. seperti investor IKN dan MOBIL ESMK.,regaropsisi tipu percaya yg nyata investor ikn mobil esmk,negatif,0
@Franken_blues @prabowo Dari sekian banyak yg mesti di bahas di revublik ini tapi kenapa beliau malah nyempilin issue gak guna kayak gitu apakabar ormas? Apakabar ikn? Apakabar ekonomi merosot? Apakabar rupiah melemah? Apakabar investor lari?,frankenblues prabowo sekian yg mesti bahas revublik beliau nyempilin issue gak kayak gitu apakabar ormas apakabar ikn apakabar ekonomi merosot apakabar rupiah lemah apakabar investor lari,negatif,0
@sonsssonn kutukan IKN @jokowi tolol,sonsssonn kutu ikn jokowi tolol,negatif,0
