"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1919955848329363558","Wed May 07 03:21:59 +0000 2025","0","Gw terakhir baca bobo jaman SD termasuk bacaan Mewah pada waktu itu dikarenakan kendala lokasi (tinggal dipedalaman Kabupaten Paser yg katanya mau jadi IKN). Yang mana hampir ±25 Tahun yg lalu. Tapi masih ingat seperti baru kemarin dengan ilustrasi ini.. Terima kasih","1919955848329363558","","","in","","0","0","0","https://x.com/montaguy/status/1919955848329363558","43932877","montaguy"
"1919954645319090414","Wed May 07 03:17:13 +0000 2025","0","Lu ke ikn Gak pak Ayolah Gak pak","1919954645319090414","","","in","","0","0","0","https://x.com/aradanola/status/1919954645319090414","574607424","aradanola"
"1919857235003363496","Wed May 07 03:16:54 +0000 2025","0","@chanyeolundip @tanyarlfes Dan IKN","1919954565790654590","","chanyeolundip","in","Indonesia","0","0","0","https://x.com/Hayat_aL_Fatih/status/1919954565790654590","69202079","Hayat_aL_Fatih"
"1919857235003363496","Wed May 07 03:15:58 +0000 2025","0","@Bagaspurnomoadi @tanyarlfes Buzzer masyarakat sih gue dukung ngga tau kalau kelas penjilat kaya elu dukungnya dinasti lah ya. Elu dinasti versi KCIC apa IKN? Atau lawas version cabang Kertajati?","1919954331132145812","","Bagaspurnomoadi","in","Indonesia","0","0","0","https://x.com/Hayat_aL_Fatih/status/1919954331132145812","69202079","Hayat_aL_Fatih"
"1919953751495897227","Wed May 07 03:13:46 +0000 2025","0","IKN bukan hanya ibu kota baru tapi simbol identitas nasional yang mencerminkan semangat persatuan inklusivitas dan kemajuan Indonesia ke depan. #IKNBanggaIndonesia #SimbolPersatuan https://t.co/i2PEpmVk4z","1919953778314297628","https://pbs.twimg.com/media/GqULwvWbAAMYV7w.jpg","BertaniKodok","in","","0","0","0","https://x.com/BertaniKodok/status/1919953778314297628","1564445082866323456","BertaniKodok"
"1919953751495897227","Wed May 07 03:13:44 +0000 2025","0","IKN dirancang sebagai kota masa depan yang ramah lingkungan berbasis teknologi pintar dan berorientasi pada keberlanjutan. #KotaHijau #SmartCityIKN https://t.co/Yk6dgP2Xo3","1919953769959215291","https://pbs.twimg.com/media/GqULniMbAAImO-2.jpg","BertaniKodok","in","","0","1","0","https://x.com/BertaniKodok/status/1919953769959215291","1564445082866323456","BertaniKodok"
"1919953751495897227","Wed May 07 03:13:43 +0000 2025","0","Proyek IKN menyerap jutaan tenaga kerja dan menghidupkan UMKM lokal melalui rantai pasok bahan bangunan makanan dan jasa lainnya. #IKNCiptakanKerja #UMKMNaikKelas https://t.co/gXOYEjFITM","1919953764569776506","https://pbs.twimg.com/media/GqULg1lbAAY3sA_.jpg","BertaniKodok","in","","0","1","0","https://x.com/BertaniKodok/status/1919953764569776506","1564445082866323456","BertaniKodok"
"1919953751495897227","Wed May 07 03:13:41 +0000 2025","0","IKN Nusantara menciptakan pusat pertumbuhan ekonomi baru membuka peluang investasi dan menggerakkan sektor-sektor unggulan seperti konstruksi energi dan teknologi hijau. #IKNMendorongEkonomi #InvestasiHijau https://t.co/KPEvhWihB6","1919953757942546821","https://pbs.twimg.com/media/GqULX6ZaoAAiU6B.jpg","BertaniKodok","in","","0","1","0","https://x.com/BertaniKodok/status/1919953757942546821","1564445082866323456","BertaniKodok"
"1919953751495897227","Wed May 07 03:13:40 +0000 2025","0","Pembangunan IKN Nusantara menjadi langkah strategis untuk mendorong pemerataan ekonomi dan pembangunan tidak hanya terpusat di Pulau Jawa tapi menyebar ke wilayah timur Indonesia. #IKNUntukIndonesia #PemerataanPembangunan https://t.co/npNjvBjIlG","1919953751495897227","https://pbs.twimg.com/media/GqULP61a0AEz5Dx.jpg","","in","","0","1","0","https://x.com/BertaniKodok/status/1919953751495897227","1564445082866323456","BertaniKodok"
"1919953741320720440","Wed May 07 03:13:37 +0000 2025","0","Rektor Uniba IZ Komentari Udara Bersih IKN yang Kondusif untuk Aktivitas Berolahraga Jogging &amp; Running https://t.co/6ZwWutALYl","1919953741320720440","","","in","","0","0","0","https://x.com/uwriteid/status/1919953741320720440","1647104901380734976","uwriteid"
"1919953551322972233","Wed May 07 03:12:52 +0000 2025","0","Secara materi kalau IKN mau pindah silahkan. Tapi secara spiritual magis dan kesakralan tidak ada yang berani jamin dan dukung 100% Tuan dan Puan. Saya sudah cek dari ujung barat ke timur utara ke selatan bolak balik. Tidak ada yang berani. Urusannya ke langit ke 7. ","1919953551322972233","","","in","6°LU  – 11° LS & 95° – 141° BT","0","0","0","https://x.com/Mousaigetes/status/1919953551322972233","408605996","Mousaigetes"
