id,clean_text,sentimen
1,baca jaman baca mewah kendala lokasi tinggal dalam kabupaten paser ikn kemarin ilustrasi terima kasih,negatif
2,masyarakat dukung tau kelas jilat kaya dukung dinasti dinasti versi ikn lawas cabang,positif
3,ikn kota simbol identitas nasional cermin semangat satu maju indonesia,positif
4,ikn rancang kota ramah lingkung bas teknologi pintar orientasi lanjut,positif
5,proyek ikn serap juta tenaga kerja hidup lokal rantai pasok bahan bangun makan jasa,negatif
6,ikn nusantara cipta pusat tumbuh ekonomi buka peluang investasi gerak unggul konstruksi energi teknologi hijau,positif
7,bangun ikn nusantara langkah strategis dorong perata ekonomi bangun pusat pulau sebar wilayah timur indonesia,negatif
8,rektor komentar udara bersih ikn kondusif aktivitas olahraga,positif
9,materi ikn pindah silah spiritual magis sakral berani jamin dukung tuan puan cek ujung barat timur utara selatan bolak berani urus langit,positif
10,ikn jalan hujan wacana gaya kerja nyata,negatif
11,ikn bentuk otoritas ikn otoritas bangga ikn,negatif
12,gudang mas ikn mobil ijazah presiden korup dunia catat hukum mati,negatif
13,satu urus bangun basis ilmu tahu bijak dasar ilmu tahu kereta cepat ikn jalan tol impor tambang dasar ilmu tahu belah bangsa gaya satu,negatif
14,tahan kalo malas tanjung semenjak nada kerja ikn hilang kurir,negatif
15,contoh presiden gatot gagal total hilang malu pimpin mobil masalah ikn hisab batas,negatif
16,manfaat ikn coba kasi rumah situ tinggal situ bangga manfaat masyarakat adat pinggir kena dampak bangun bilang sakit hati marah,negatif
17,ama orang hina negeri ikn ratus investor kabinet hina negeri merdeka,negatif
18,anak wabah bani nang kondisi ikn,negatif
19,bawa ikn buang,negatif
20,kalo kena tipu ribu mobil jalan nusantara hutang negara kurang saham milik ikn indah kaya hutan,positif
21,kaya negara keruk proyek kroni suara rakyat dengar ikn tanah adat cemar tambang ubah baru ijazah narasi satu bangun negeri,negatif
22,pagar laut mana ikn mana serobot tanah mana ilegal nikel juta ton mana oplos rugi mana,negatif
23,mudah atas banjir presiden jabat tinggal triliun hutang negara drastis ikn,negatif
24,laksana proses terbit,negatif
25,kampung relokasi ikn,negatif
26,terbit kena tri tanah ikn,negatif
27,ikn saking kritik antek asing,negatif
28,keluarga suruh tinggal ikn,negatif
29,komisi kaji kesiap infrastruktur kait pindah ikn,negatif
30,proyek ikn jalan anggar triliun investasi triliun infrastruktur kantor presiden istana negara bangun kendala konstruksi lambat relokasi,negatif
31,ikn gada berita,negatif
32,mantap indonesia maju buat ikn,positif
33,rombong kabupaten ikn,negatif
34,orang maklum kepala garuda penggal ikon patung garuda ikn log partai kepala burung garuda orang,negatif
35,mana marak ikn bidik itu sumber kau marah suka harap sembuh itu kalo korban manusia tos teh pagi,negatif
36,ramai aktivitas sana sia sia ibukota ikn video aktivitas kerja ikn hidup,negatif
37,kota republik indonesia ikn,negatif
38,suruh biar lolos kurung ikn suruh jaga tugu,negatif
39,bilang pes ikn investor ikn gede doang ikn kabinet kerempeng kek badan gemuk kek kebo,negatif
40,hasil tangan polusi udara tingkat ekspor nasional cepat oleh tanah investasi kota negara ikn tangan berantas judi deregulasi bijak,negatif
41,anjing terna emang otoritas ikn alias doang tobat anjing,negatif
42,rakyat tuju ikn arogan pindah agustus,negatif
43,bangun ikn bangun jangka tahap aneh orang ngebet banget pindah ikn agustus keburu rasional,negatif
44,lupa rakyat bohong bohong mobil investor ikn,negatif
45,prestasi presiden ikn bandara lesu katrol anak utang negeri gunung nilai tukar rupiah jeblok indeks didik nasional malu bobrok,negatif
46,bakat bakar ikn istana negara kantor polisi barak tentara,negatif
47,kerja ikn ente pegang,negatif
48,megaproyek kubur ikn megaproyek tuju bancak duit negara,negatif
49,bohong publik janji ikn,negatif
50,bangun negeri mata ikn beres,negatif
51,emang liat ijazah asli tukang bohong tipu biar kantong tipu tukang obat ratus investor ikn tipu anak silah proses hukum rakyat indonesia kalo ijazah asli,negatif
52,ribu investor ikn juntrung,negatif
53,ahli tarik investasi jabat menteri investasi kenal piawai tarik investor bangun indonesia proyek strategis kota nusantara ikn,negatif
54,makzul buat main harga nasib rakyat bangsa main harga tugas negara negara pindah ikn langsung,negatif
55,bek main tanggung guru kirim pelosok ikn jadi ibukota tinggal mau senang main nasib rakyat bangsa,negatif
56,main harga nasib rakyat bangsa bapak bangun ikn ibukota nun bangsa anak ogah pindah ikn,negatif
57,ikn bohong rumit kelok,negatif
58,ikn tutup ecek ecek,negatif
59,tipu percaya ucap nyata investor ikn mobil,negatif
60,sekian mesti bahas beliau ikn ekonomi merosot rupiah lemah investor lari,negatif
61,kutu ikn tolol,negatif
62,politik politik bohong tipu rakyat bangun ikn dana ikn ratus investor antri bohong ikn bangun stadion ijazah palsu,negatif
63,akar khasiat bagus obat senter diabetes malaria kalo kudu iblis ikn biar tanam hutan,positif
64,tipu percaya mobil pesan unit kantong ikn investor minat jabat periode,negatif
65,pusat ekonomi indonesia ikn,negatif
66,pegawai bin pindah ikn juni sayang lamban daftar pegawai pindah ikn pindah,negatif
67,duit bapak hasil bangun ikn turun tanjak,negatif
68,cipta tuduh perintah dukung bukti rancang jujur kritik bijak proyek ikn bahas maju selesai,positif
69,tanah ikn beda ken,negatif
70,proyek ikn indonesia pindah kota timur maju selesai istana negara kantor rumah pegawai raya hut ada proyek hadap potong anggar,positif
71,tau ikn rencana emang prostitusi internasional,negatif
72,lapor prostitusi ikn target kerja konstruksi skala dampak debat razia tangan isu tantang platform ikn rancang,negatif
73,ikn sarang lonte tahu ikn untuk kantor abdi negara kantor swasta,negatif
74,bayang lingkar setan isi oligarki jabat korup jilat anjing jaga setia pangkat jabat kaya kuat ikn markas gerombol demo kesana jahat,negatif
75,orang janji selesai urus kerja ikn sabar,negatif
76,video asli proyek target agustus capai capai ikn tri uang bubar otoritas,negatif
77,kembung mati bain ikn,negatif
78,video ikn asli tampil progres bangun nyata promosi anggar triliun sesuai alokasi triliun ikn bangun pindah kota fase,negatif
79,ikn daerah istana,negatif
80,ikn kontol nama tipu konyol perilaku,negatif
81,ikn bangga rakyat indonesia kecuali sakit hati,negatif
82,bangga puja ikut gaya sampek rakyat limpah kantong beliau janji lanjut produksi mobil lanjut cita bangun ikn salip prestasi tiga,negatif
83,lupa duit bangun ikn,negatif
84,indonesia jalan bal jelang lawan alas ikn,negatif
85,jabat sok diri ikn,negatif
86,ikn ubah putra putri,negatif
87,ikn buka tambah cek berita efisiensi rapat kepala,negatif
88,sibuk halusinasi ekonomi roket investor asing antri masuk ikn kantong triliun,negatif
89,kaya liat ikn kocak,negatif
90,banjir mudah atas banjir atas pres banjir pindah ikn pindah lengser jabat habis investor antri ikn,negatif
91,titik ikn kak,negatif
92,teknik sipil mah lari struktur meta rencana transportasi tinggal pilih pengin bidang depan pacu ikn bangun gedung daerah doang,negatif
93,kotok pilih gas gas malu papa duit negara ikn lanjut rakyat makmur lapang kerja indonesia terang,positif
94,kuasa kereta cepat tekor ikn tekor rugi dana sasar banget abdi oligarki saran,negatif
95,akh sepele bangun ikn uang rakyat point tugas eksekutif kuat awas dukung,positif
96,investor ikn antri,negatif
97,ikn tanam ribu bibit pohon wujud nyata kota hutan indonesia,negatif
98,presiden gagal suka remeh rakyat kerja baju kaos lempar mobil ikn contoh triliun uang hambur hasil,negatif
99,pabrik investor klarifikasi batal cabut ikn ratus investor rebut otak,negatif
100,bandara pusat logistik topang ikn,negatif
101,jamin huni ikn tampung pindah tahap,negatif
102,teknik sipil dek lowong susah bangun liat ikn kerja negeri sertifikasi satu hitung negara beda ajar satu beda,negatif
103,sesuai nama akun bebas ikn butuh huni,negatif
104,hasil apa utang masalah ikn usaha gulung tikar jasa jadi presiden ganti apa sanjung,negatif
105,tantang bursa wajib singkir sumber ikn pos bagi aplikasi,negatif
106,bukti ibukota ikn kota mewah arab kecewa rugi modal buat,negatif
107,tipu judul mobil ekonomi anak terjun impor larang rangkap jabat tipu investor ikn capai,negatif
