P(negatif|x),P(positif|x),prediksi,aktual,clean_text
1.0,0.0,negatif,negatif,sebar pes unit antri investor ikn
1.0,0.0,negatif,negatif,buka lapang kerja ikn
0.0,1.0,positif,positif,maju ikn bangsa indonesia indah
1.0,0.0,negatif,negatif,harga patung ikn gin
1.0,0.0,negatif,negatif,belanja kartu visa sumber ikn pos bagi aplikasi
1.0,0.0,negatif,negatif,huni ikn tampung pindah tahap
0.3333333333333333,0.6666666666666666,positif,negatif,puja ikn sila
0.0,1.0,positif,positif,materi ikn pindah silah spiritual magis sakral berani jamin dukung tuan puan cek ujung barat urus utara selatan bolak berani timur langit
0.0,1.0,positif,positif,pindah hadir sebar adil ikn kota dorong tumbuh ekonomi rata bangun pusat
1.0,0.0,negatif,negatif,paman kerja proyek ikn pulang pulang bilang dah nikah tahu tante lonte anak hamil anak lonte anak sekarat kena tumor
0.0,1.0,positif,positif,peduli ijazah palsu bayar janji pas presiden lunas macet banjir gampang atas presiden presiden duit negeri indonesia bangun lap bola duit ikn kelar
1.0,0.0,negatif,negatif,anjing terna emang otoritas ikn alias doang tobat anjing
0.6666666666666666,0.3333333333333333,negatif,negatif,lanjut bangun ikn
0.0,1.0,positif,positif,usaha ikn uji coba barangkali ikn beli kelak kelak kalo dasar evaluasi nilai optimal terbang tawar uji coba ikn tuju menteri takut celaka
1.0,0.0,negatif,negatif,kutu ikn tolol
0.0,1.0,positif,positif,cerdas dikit bilang investor asing ikn antri antri nol bukti ucap bohong
0.0,1.0,positif,positif,ikn nusantara buka babak sejarah indonesia daya ikn nusantara indonesia harap negara maju bangun saing global
1.0,0.0,negatif,negatif,sosok tunggu raja ikn
0.0,1.0,positif,positif,ikn kota hijau ramah lingkung bangun konsep ikn simbol komitmen komitmen indonesia lestari bersih
0.0,1.0,positif,positif,dukung penuh bangun kota nusantara pusat perintah hijau modern lanjut
0.6666666666666666,0.3333333333333333,negatif,negatif,ikn tempat langsung sakit jiwa
1.0,0.0,negatif,negatif,tanda ikn ketemu kah
0.0,1.0,positif,positif,modern penuh bangun kota nusantara pusat perintah hijau dukung lanjut
1.0,0.0,negatif,negatif,rakyat tuduh mu tukang tipu bantah tipu contoh mobil janji janji kembali indonesia ikn jalan
0.0,1.0,positif,positif,dukung dukung penuh bangun kota nusantara pusat perintah hijau modern lanjut
1.0,0.0,negatif,negatif,biaya ikn tanggung trem otonom terang taruh biar mata baca
1.0,0.0,negatif,negatif,ikn bentuk otoritas ikn otoritas bangga ikn
1.0,0.0,negatif,negatif,pabrik investor klarifikasi batal cabut ikn ratus investor rebut otak
1.0,0.0,negatif,negatif,maaf informasi biaya sewa hari kereta ikn sedia publik biaya sewa rahasia janji tinggi biaya sewa salah alas
0.0,1.0,positif,positif,masyarakat dukung tau kelas jilat versi dukung dinasti dinasti kaya ikn lawas cabang
0.0,1.0,positif,positif,kota ikn modern
0.3333333333333333,0.6666666666666666,positif,positif,baik lanjut ikn ikn utang ekonomi benjut nilai tukar kerja juta murah burut hasil rakyat hanyut
1.0,0.0,negatif,negatif,kereta rel ikn kembali proyek bohong tampar
1.0,0.0,negatif,negatif,teknik sipil mah lari struktur meta rencana transportasi tinggal pilih pengin bidang depan pacu ikn bangun gedung daerah doang
0.3333333333333333,0.6666666666666666,positif,negatif,keluh tingkat pesat bangun ikn
0.0,1.0,positif,positif,ikn ikn jadi indonesia maju
0.0,1.0,positif,positif,ikn nusantara pindah kota simbol wujud indonesia negara maju kota rancang ramah lingkung cerdas lanjut transformasi nyata indonesia
0.0,1.0,positif,positif,sumpah dukung pola kalo gambar hasil keren banget kalo mah mual kalo bikin bijak rumus mas mas kaya kau bikin ikn rusak gerbong
1.0,0.0,negatif,negatif,ikn bubar anjir kereta rel bawa cuman operasi ikn
0.0,1.0,positif,positif,kalo infrastruktur istana ngapain koar koar seh komunikasi bagus komunikasi lewat munafik sadar ama mampu rakyat beli ikn saat warga hidup mulia munafik
1.0,0.0,negatif,negatif,alur bikin candi ikn bikin isi campur
0.3333333333333333,0.6666666666666666,positif,negatif,kejam tiri kejam ikn
1.0,0.0,negatif,negatif,salah om mobil properti ikn
0.0,1.0,positif,positif,dukung makzul konstitusional bikin tabu poin fokus sisa bagus stop ikn cabut masalah negara kuasa tambang
0.0,1.0,positif,positif,pimpin adil hina dunia balas akhirat tipu pabrik bangkrut gusur ikn mandalika korban adil allah
0.0,1.0,positif,positif,ikn bangsa maju indonesia indah
0.3333333333333333,0.6666666666666666,positif,positif,baik lanjut ikn utang tukar benjut nilai ekonomi kerja juta murah burut hasil rakyat hanyut
0.0,1.0,positif,positif,ikn kota modern
0.3333333333333333,0.6666666666666666,positif,negatif,pegawai bin pindah ikn juni huni kantor
0.0,1.0,positif,positif,ikn nusantara wujud impi indonesia negara maju mari dukung bangun ikn nusantara cipta indonesia
0.0,1.0,positif,positif,ikn ikn negara sungguh hebat
0.6666666666666666,0.3333333333333333,negatif,negatif,duit habis ikn
0.0,1.0,positif,positif,anggap demokrasi sempat buka buka insan manusia wayang cuman bagus ikn
0.0,1.0,positif,positif,sumber hancur indonesia janji tepat ikn nasib bukti penjara damai orang orang libat moga indonesia adil makmur cari
1.0,0.0,negatif,negatif,hutan babat ikn objek muas ego
0.3333333333333333,0.6666666666666666,positif,negatif,gantung orang kalo iman kuat butuh otak lepas akibat kerja berat ikn
1.0,0.0,negatif,negatif,karma ikn kereta cepat investor antri
1.0,0.0,negatif,negatif,sekian investor ikn mohon cerah reputasi
1.0,0.0,negatif,negatif,cur besar ikn ibukota
1.0,0.0,negatif,negatif,juta lapang kerja generasi emas open ikn mending
0.0,1.0,positif,positif,bangun bangun ikn nusantara maju indonesia
0.0,1.0,positif,positif,maju ikn emang bikin mata melotot langsung langsung percaya lihat data bangun ikn maret april
1.0,0.0,negatif,negatif,otak tolol percaya bual investor antri ikn anak
1.0,0.0,negatif,negatif,penuh butuh rakyat muas ego kepala bangun ikn
1.0,0.0,negatif,negatif,tanah bumi laut hukum ikn milik
0.0,1.0,positif,positif,ikn kota modern coba lihat besar trotoar coba lihat kota rancang trotoar man kendara pribadi kena rumput percaya beliau pegang ikn
0.0,1.0,positif,positif,teknologi rancang kota ramah lingkung bas ikn pintar orientasi lanjut
1.0,0.0,negatif,negatif,haus jabat kalah lihat pakta korupsi ikn pagar laut benar tonggak juang negara harus bohong
0.0,1.0,positif,positif,dukung penuh bangun kota nusantara pusat perintah hijau modern lanjut
0.0,1.0,positif,positif,ikn kota modern ikn lihat besar trotoar coba lihat kota rancang trotoar man kendara pribadi kena rumput percaya beliau pegang coba
1.0,0.0,negatif,negatif,cerita tetap ikn bukit rintik ramai pusat ikn ketat konsumen pusat ikn
1.0,0.0,negatif,negatif,tantang bursa wajib singkir sumber ikn pos bagi aplikasi
0.3333333333333333,0.6666666666666666,positif,negatif,ikn hadir rapat bangun markas ikn
1.0,0.0,negatif,negatif,ikn kalo ubah pusat prostitusi kasino judi
0.6666666666666666,0.3333333333333333,negatif,negatif,kak taun pas kerja ikn tim inap kerja proyek emang suka jajan
0.6666666666666666,0.3333333333333333,negatif,negatif,anggap investor investasi ikn tuan
1.0,0.0,negatif,negatif,ikn simbol harap perata ekonomi indonesia
1.0,0.0,negatif,negatif,ikn buka juta lapang kerja sesuai janji
0.0,1.0,positif,positif,ikn jadi indonesia maju maju
0.0,1.0,positif,positif,maju ikn emang bikin mata melotot langsung percaya lihat data bangun ikn maret april
0.0,1.0,positif,positif,dukung penuh bangun bangun kota nusantara pusat perintah hijau modern lanjut
1.0,0.0,negatif,negatif,licik kereta rel ikn uji coba investor transportasi ikn biar percaya kagum kagum bangsat
1.0,0.0,negatif,negatif,batal audit ikn
0.0,1.0,positif,positif,keluarga tuju bangun bengkalai ikn tuju jangka timbang respek ramai ijazah hidup dukung
1.0,0.0,negatif,negatif,pagar laut mana ikn mana serobot tanah mana ilegal nikel juta ton mana oplos rugi mana
1.0,0.0,negatif,negatif,bohong ekonomi roket dana triliun investor antri ikn percaya puja
0.0,1.0,positif,positif,deputi ikn bus awi bilang armada kirim teknologi baik ikn fokus aplikasi biar warga gampang pesan ali listrik sepeda listrik taksi terbang
0.6666666666666666,0.3333333333333333,negatif,positif,cipta tuduh perintah dukung bukti rancang jujur kritik bijak proyek ikn bahas maju selesai
0.0,1.0,positif,positif,buru anggar proyek ada pola ikn negara duit proyek tarik peduli
1.0,0.0,negatif,negatif,ida ikn titik nol indonesia emas emang kereta rel jalan sana beres investor ratus kunjung
0.0,1.0,positif,positif,bangun ikn nusantara maju indonesia
0.0,1.0,positif,positif,dukung nusantara ikn
